Age,Job,MaritalStatus,EducationLevel,CurrentCustomer,UsesRelevantService,ContactMeans,ContactDay,ContactMonth,ContactsTotal,DaysFromPrevAttempt,PrevAttempts,PrevOutcome,CallStartTime,CallEndTime,Outcome
34,construction worker,divorced,secondary,0,1,telephone,20,oct,1,-1,0,,17:32:48,17:33:12,0
39,self-employed,married,tertiary,1,1,mobile-phone,17,apr,3,-1,0,,13:49:18,14:04:00,1
45,data analyst,married,secondary,0,1,mobile-phone,9,feb,4,-1,0,,16:56:54,16:58:36,0
28,data analyst,single,tertiary,0,0,mobile-phone,1,oct,1,115,3,call-again,14:02:32,14:10:54,1
61,data analyst,married,secondary,0,0,mobile-phone,18,aug,6,-1,0,,12:54:59,13:11:37,1
29,construction worker,married,secondary,1,0,mobile-phone,11,may,6,-1,0,,17:55:03,17:56:59,0
46,technician,married,secondary,1,0,mobile-phone,31,jul,10,-1,0,,14:44:43,14:45:20,0
56,technician,married,secondary,0,0,mobile-phone,7,aug,4,-1,0,,12:45:23,12:46:52,0
36,technician,married,tertiary,1,0,mobile-phone,8,oct,2,175,2,success,16:38:16,16:42:10,1
40,technician,single,secondary,1,0,,30,may,3,-1,0,,09:10:45,09:19:58,1
32,entrepreneur,married,secondary,0,0,mobile-phone,6,sep,1,280,1,failure,15:13:28,15:20:48,1
48,retired,married,secondary,0,1,mobile-phone,28,jul,3,-1,0,,10:51:30,11:07:09,1
46,technician,married,tertiary,1,0,,6,may,1,-1,0,,13:29:51,13:32:29,0
46,civil servant,married,secondary,0,0,,11,jun,2,-1,0,,15:24:14,15:39:00,0
28,engineer,married,secondary,1,0,,4,jul,2,-1,0,,13:43:51,13:44:44,0
35,engineer,married,secondary,1,0,mobile-phone,11,jul,2,-1,0,,12:47:53,13:15:22,1
29,data analyst,single,tertiary,1,0,mobile-phone,8,may,3,-1,0,,09:04:51,09:14:57,1
38,civil servant,married,primary,0,0,,17,jun,2,-1,0,,12:45:32,12:47:44,0
46,technician,married,secondary,1,0,mobile-phone,6,aug,3,-1,0,,16:13:59,16:17:28,0
36,student,single,tertiary,0,0,mobile-phone,27,oct,1,-1,0,,12:32:52,12:35:21,1
52,data analyst,divorced,tertiary,0,0,mobile-phone,19,aug,1,-1,0,,10:13:47,10:16:01,0
40,engineer,married,secondary,1,0,,30,may,2,-1,0,,15:45:50,15:52:20,0
51,data analyst,single,tertiary,0,0,mobile-phone,17,nov,2,-1,0,,10:21:06,10:24:02,0
42,construction worker,married,primary,1,0,mobile-phone,30,apr,1,85,2,failure,09:43:48,09:57:49,1
38,civil servant,divorced,secondary,1,0,,28,may,2,-1,0,,17:45:46,17:48:43,0
42,data analyst,married,tertiary,0,0,mobile-phone,21,nov,3,-1,0,,11:38:43,11:49:47,1
45,data analyst,married,tertiary,1,0,,5,may,2,-1,0,,13:58:21,14:12:30,0
33,technician,married,tertiary,0,0,mobile-phone,4,aug,1,-1,0,,17:40:32,17:50:32,1
30,construction worker,married,secondary,1,1,mobile-phone,17,apr,2,326,1,failure,16:40:01,16:44:52,0
26,student,single,tertiary,0,0,mobile-phone,21,apr,2,-1,0,,16:07:39,16:09:29,1
31,self-employed,single,tertiary,0,0,mobile-phone,21,nov,1,-1,0,,15:08:27,15:18:41,1
60,retired,married,primary,0,0,mobile-phone,11,aug,4,-1,0,,10:54:03,10:58:10,0
32,construction worker,married,secondary,1,0,mobile-phone,16,jul,2,-1,0,,09:59:33,10:11:22,1
51,engineer,married,secondary,0,0,mobile-phone,5,aug,1,-1,0,,14:57:38,15:15:50,1
43,construction worker,married,secondary,0,0,,8,may,1,-1,0,,13:19:05,13:20:15,0
58,retired,married,primary,1,1,,13,may,3,-1,0,,14:03:20,14:16:28,0
